Diese Datei gibt Ihnen einen kurzen Ueberblick, welche Variablen im
portable file des ALLBUS 2014 enthalten sind:

Variable       Position Beschriftung
V1             1        STUDIENNUMMER
V2             2        IDENTIFIKATIONSNUMMER DES BEFRAGTEN
V3             3        FRAGEBOGENSPLIT F040, F041
V4             4        FRAGEBOGENSPLIT F058, F074
V5             5        FRAGEBOGENSPLIT F075
V6             6        DEUTSCHE STAATSANGEHOERIGKEIT?
V7             7        ERHEBUNGSGEBIET <WOHNGEBIET>: WEST - OST
V8             8        WIRTSCHAFTSLAGE IN DER BRD HEUTE
V9             9        WIRTSCHAFTSLAGE, BEFR. HEUTE
V10            10       WIRTSCHAFTSLAGE DER BRD IN 1 JAHR
V11            11       WIRTSCHAFTSLAGE, BEFR. IN 1 JAHR
V12            12       FREIZEIT: BUECHER LESEN
V13            13       FREIZEIT: MUSIK HOEREN
V14            14       FREIZEIT: DAS INTERNET NUTZEN
V15            15       FREIZEIT: CHATTEN, SOZIALE NETZWERKE
V16            16       FREIZEIT: AM COMPUTER SPIELEN
V17            17       FREIZEIT: EINFACH NICHTS TUN, FAULENZEN
V18            18       FREIZEIT: SPAZIERENGEHEN, WANDERN
V19            19       FREIZEIT: YOGA,MEDITATION,AUTOG.TRAINING
V20            20       FREIZEIT: ESSEN ODER TRINKEN GEHEN
V21            21       FREIZEIT: BESUCH NACHBARN, FREUNDE, BEK.
V22            22       FREIZEIT: BESUCH FAMILIE, VERWANDTSCHAFT
V23            23       FREIZEIT: GESELLSCHAFTSSPIELE IN FAMILIE
V24            24       FREIZEIT: MUSIK MACHEN
V25            25       FREIZEIT: ANDERE KUENSTLER. TAETIGKEITEN
V26            26       FREIZEIT: BASTELN, REPARATUREN
V27            27       FREIZEIT: AKTIVE SPORTLICHE BETAETIGUNG
V28            28       FREIZEIT: BESUCH V. SPORTVERANSTALTUNGEN
V29            29       FREIZEIT: KINO, POP+JAZZKONZERTE, TANZEN
V30            30       FREIZEIT: KLASS. KONZERTE, THEATER ETC.
V31            31       FREIZEIT: BESUCH MUSEEN, AUSSTELLUNGEN
V32            32       FREIZEIT: BESUCH STADT- UND VOLKSFESTE
V33            33       FREIZEIT SELTEN: SPORTVERANSTALTUNGEN
V34            34       FREIZEIT SELTEN: KINO, POP+JAZZKONZERTE
V35            35       FREIZEIT SELTEN: KLASS.KONZERTE, THEATER
V36            36       FREIZEIT SELTEN: MUSEEN, AUSSTELLUNGEN
V37            37       FREIZEIT SELTEN: STADT-, VOLKSFESTE
V38            38       PRIVATER MUSIKUNTERRICHT (AUCH GESANG)
V39            39       MUSIKUNTERRICHT, ALTER: BIS 13 JAHRE
V40            40       MUSIKUNTERRICHT, ALTER: 14-20 JAHRE
V41            41       MUSIKUNTERRICHT, ALTER: 21 J. UND AELTER
V42            42       UNTERRICHT ANDERE KUENSTLER.FERTIGKEITEN
V43            43       UNTERRICHT AND.KUENSTL.FERTIGK.:BIS 13J.
V44            44       UNTERRICHT AND.KUENSTL.FERTIGK.:14-20 J.
V45            45       UNTERRICHT AND.KUENSTL.FERTIGK.:21+JAHRE
V46            46       MITGLIEDSSTATUS: KULTURVEREIN
V47            47       MITGLIEDSSTATUS: SPORTVEREIN
V48            48       MITGLIEDSSTATUS: SONST. HOBBYVEREIN
V49            49       MITGLIEDSSTATUS: WOHLTAETIGKEITSVEREIN
V50            50       MITGLIEDSSTATUS: MENSCHENRECHTSORGAN.
V51            51       MITGLIEDSSTATUS: NATURSCHUTZORGANISATION
V52            52       MITGLIEDSSTATUS: GESUNDHEITSVEREIN
V53            53       MITGLIEDSSTATUS: ELTERNORGANISATION
V54            54       MITGLIEDSSTATUS: SENIORENVEREIN
V55            55       MITGLIEDSSTATUS: BUERGERINITIATIVE
V56            56       MITGLIEDSSTATUS: ANDERE VEREINE
V57            57       MITGLIED: INFORMELLE GRUPPE
V58            58       MUSIK: VOLKSMUSIK HOEREN
V59            59       MUSIK: VOLKSMUSIK ANDERER KULTUREN
V60            60       MUSIK: DEUTSCHE SCHLAGERMUSIK HOEREN
V61            61       MUSIK: POPMUSIK, AKTUELLE CHARTS HOEREN
V62            62       MUSIK: ROCK-MUSIK HOEREN
V63            63       MUSIK: HEAVY METAL HOEREN
V64            64       MUSIK: ELEKTRONISCHE U-MUSIK HOEREN
V65            65       MUSIK: HIP HOP, SOUL, REGGAE HOEREN
V66            66       MUSIK: KLASSISCHE MUSIK HOEREN
V67            67       MUSIK: OPER HOEREN
V68            68       MUSIK: MUSICAL HOEREN
V69            69       MUSIK: JAZZ HOEREN
V70            70       HAEUFIGKEIT VON FERNSEHEN PRO WOCHE
V71            71       FERNSEHGESAMTDAUER PRO TAG IN MINUTEN
V72            72       FERNSEHGESAMTDAUER PRO TAG, KAT.
V73            73       FERNSEHINTERESSE: SHOWS, QUIZ
V74            74       FERNSEHINTERESSE: SPORTSENDUNGEN
V75            75       FERNSEHINTERESSE: SPIELFILME
V76            76       FERNSEHINTERESSE: NACHRICHTEN
V77            77       FERNSEHINTERESSE: POLITISCHE MAGAZINE
V78            78       FERNSEHINTERESSE: KUNST UND KULTUR
V79            79       FERNSEHINTERESSE: KRIMIS
V80            80       FERNSEHINTERESSE: UNTERHALTUNGSSERIEN
V81            81       GESCHLECHT, BEFRAGTE<R>
V82            82       GEBURTSMONAT: BEFRAGTE<R>
V83            83       GEBURTSJAHR: BEFRAGTE<R>
V84            84       ALTER: BEFRAGTE<R>
V85            85       ALTER: BEFRAGTE<R>, KATEGORISIERT
V86            86       ALLGEMEINER SCHULABSCHLUSS
V87            87       BEFR.: BERUFLICH-BETRIEBL. ANLERNZEIT
V88            88       BEFR.: TEILFACHARBEITERABSCHLUSS
V89            89       BEFR.: GEWERBLICHE, LANDWIRTSCH. LEHRE
V90            90       BEFR.: KAUFMAENNISCHE LEHRE
V91            91       BEFR.: BERUFL. PRAKTIKUM, VOLONTARIAT
V92            92       BEFR.: BERUFSFACHSCHULABSCHLUSS
V93            93       BEFR.: FACHSCHULABSCHLUSS
V94            94       BEFR.: MEISTER, TECHNIKERABSCHLUSS
V95            95       BEFR.: FACHHOCHSCHULABSCHLUSS
V96            96       BEFR.: HOCHSCHULABSCHLUSS
V97            97       BEFR.:ANDERER BERUFSAUSBILDUNGSABSCHLUSS
V98            98       BEFR.: KEIN BERUFL. AUSBILDUNGSABSCHLUSS
V99            99       BEFR.: ART DES UNI-ABSCHLUSSES
V100           100      BEFR.: ART DES FH-ABSCHLUSSES
V101           101      BEFR.: ISCED 1997 - 6 STUFEN
V102           102      BEFR.: ISCED 2011
V103           103      BEFRAGTE<R> BERUFSTAETIG?
V104           104      BEFR.: JETZIGE BERUFLICHE STELLUNG
V105           105      BEFR.: JETZIGE BERUFL.STELLUNG,KENNZIFF.
V106           106      BEFR.: JETZIGER BERUF; ISCO 1988
V107           107      BEFR.: JETZIGER BERUF; SIOPS I88
V108           108      BEFR.: JETZIGER BERUF; SIOPS I88, KATEG.
V109           109      BEFR.: ISEI NACH GANZEBOOM I88
V110           110      BEFR.: ISEI NACH GANZEBOOM I88, KATEG.
V111           111      BEFR.: JETZIGER BERUF; ISCO 2008
V112           112      BEFR.: JETZIGER BERUF; SIOPS I08
V113           113      BEFR.: JETZIGER BERUF; SIOPS I08, KATEG.
V114           114      BEFR.: ISEI NACH GANZEBOOM I08
V115           115      BEFR.: ISEI NACH GANZEBOOM I08, KATEG.
V116           116      IM OEFFENTLICHEN DIENST TAETIG?
V117           117      BEFRISTETES ARBEITSVERHAELTNIS?
V118           118      BEFRAGTER: ARBEITSSTUNDEN PRO WOCHE
